ETF,Name,Underlying,Sector,Total_Return,Annualized_Return,Dividend_Yield,Volatility,Sharpe_Ratio,Max_Drawdown,Leverage_Estimate,Excess_vs_Underlying,Current_Price,Weekly_Dividends,Avg_Weekly_Div,Dividend_Consistency,Total_Return_Rank,Dividend_Yield_Rank,Sharpe_Ratio_Rank,Dividend_Consistency_Rank,Volatility_Rank,Max_Drawdown_Rank,Overall_Score,Overall_Rank
NVII,REX NVDA Growth & Income ETF,NVDA,Technology/AI,0.4991712159065189,5.1848697528521,0.3929964146199117,0.2644396326541927,19.436835928347776,-0.028932065967865017,1.0173600996230059,0.16052778142759383,32.58000183105469,10,0.2037,0.7186826060833116,1.0,4.0,1.0,2.0,1.0,4.0,2.1666666666666665,1.0
MSII,REX MSTR Growth & Income ETF,MSTR,Bitcoin/FinTech,0.08740106046266738,0.5128929090826433,0.4920332839137367,0.5523612605119504,0.8470777053571452,-0.18489268514552426,1.092550336091875,0.11855683562568575,22.200000762939453,9,0.24811111111111112,0.7453353324594622,4.0,2.0,4.0,1.0,2.0,2.0,2.5,3.0
COII,REX COIN Growth & Income ETF,COIN,Cryptocurrency Exchange,0.28353904382577944,2.432957404955002,0.8399871195767309,0.6832143572867155,3.4951803624830435,-0.2710610509484185,0.9002912462879021,0.043109404009495256,24.299999237060547,9,0.411,0.6070559610705596,2.0,1.0,2.0,4.0,4.0,1.0,2.3333333333333335,2.0
TSII,REX TSLA Growth & Income ETF,TSLA,Electric Vehicles/Autonomous,0.1441742535715338,0.9454502929072857,0.4121181993632228,0.5914375129274759,1.522477477714035,-0.11732587400144368,1.0234802296005538,0.14866150033904135,23.489999771118164,9,0.2072222222222222,0.6769478157627077,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
